productid,productname,category,unitprice,rating,seasonal
2000,ELECTRONICS-BE,ELECTRONICS,969.31,3,N
2001,ELECTRONICS-BE,CLOTHING,412.35,4,Y
2002,OFFICE-FAMILY,CLOTHING,866.0,2,N
2003,ELECTRONICS-TRAINING,CLOTHING,385.18,4,N
2004,OFFICE-WHERE,HOME,927.25,4,Y
2005,OFFICE-HUGE,HOME,428.78,1,Y
2006,OFFICE-CLASS,CLOTHING,198.0,2,N
2007,CLOTHING-OVER,ELECTRONICS,583.39,2,N
2008,ELECTRONICS-SKIN,HOME,66.59,2,N
2009,OFFICE-RAISE,CLOTHING,66.31,4,N
2010,ELECTRONICS-THEMSELVES,CLOTHING,77.84,3,Y
2011,ELECTRONICS-RELIGIOUS,CLOTHING,409.74,2,N
2012,CLOTHING-ARTIST,ELECTRONICS,623.19,5,Y
2013,OFFICE-CULTURAL,HOME,935.36,4,N
2014,CLOTHING-EAT,HOME,246.3,1,N
2015,OFFICE-ITSELF,CLOTHING,674.97,3,N
2016,HOME-HE,OFFICE,323.02,5,Y
2017,ELECTRONICS-FEELING,ELECTRONICS,463.7,5,N
2018,ELECTRONICS-NATURE,ELECTRONICS,542.26,1,N
2019,HOME-HISTORY,CLOTHING,933.93,3,N
2020,ELECTRONICS-SHARE,CLOTHING,375.83,4,N
2021,CLOTHING-SKILL,OFFICE,835.41,0,N
2022,HOME-ECONOMY,ELECTRONICS,671.18,3,N
2023,HOME-YEAH,ELECTRONICS,939.54,1,Y
2024,CLOTHING-PAPER,HOME,124.27,5,N
2025,ELECTRONICS-ASSUME,CLOTHING,279.62,4,N
2026,CLOTHING-USE,HOME,211.56,3,N
2027,HOME-PURPOSE,OFFICE,258.61,0,N
2028,ELECTRONICS-TAKE,ELECTRONICS,637.94,0,N
2029,HOME-YOURSELF,ELECTRONICS,13.51,2,N
2030,CLOTHING-FIRST,HOME,169.97,2,N
2031,OFFICE-DEVELOP,OFFICE,565.3,1,Y
2032,ELECTRONICS-THERE,ELECTRONICS,945.6,3,Y
2033,CLOTHING-ARGUE,ELECTRONICS,836.25,3,Y
2034,CLOTHING-FEEL,OFFICE,136.17,5,N
2035,HOME-ACCORDING,HOME,899.99,5,N
2036,ELECTRONICS-CANDIDATE,HOME,217.98,5,N
2037,CLOTHING-MEETING,ELECTRONICS,360.14,2,N
2038,OFFICE-SOON,CLOTHING,926.51,3,N
2039,CLOTHING-NEED,CLOTHING,976.44,3,N
2040,CLOTHING-DETERMINE,OFFICE,34.54,0,N
2041,HOME-ASSUME,OFFICE,804.21,2,N
2042,CLOTHING-LAWYER,HOME,167.61,4,Y
2043,ELECTRONICS-PRACTICE,OFFICE,873.45,2,N
2044,OFFICE-SOCIETY,CLOTHING,207.58,4,Y
2045,OFFICE-NEXT,HOME,312.14,0,N
2046,CLOTHING-WORRY,CLOTHING,33.43,1,N
2047,CLOTHING-HAIR,OFFICE,334.98,3,N
2048,ELECTRONICS-CANDIDATE,HOME,357.63,0,N
2049,OFFICE-EASY,HOME,939.84,3,N
2050,ELECTRONICS-YOUNG,HOME,186.78,5,Y
2051,HOME-CENTURY,ELECTRONICS,117.32,1,N
2052,OFFICE-YEAR,HOME,731.26,1,N
2053,HOME-GROUND,OFFICE,610.15,0,N
2054,ELECTRONICS-ABOVE,OFFICE,900.51,1,N
2055,CLOTHING-POLITICS,HOME,53.94,4,N
2056,OFFICE-ABOUT,ELECTRONICS,524.72,1,Y
2057,CLOTHING-IDENTIFY,HOME,436.98,3,N
2058,HOME-WEAR,HOME,666.75,3,N
2059,ELECTRONICS-CLEAR,HOME,512.05,3,N
2060,OFFICE-TERM,HOME,408.38,3,N
2061,HOME-QUITE,CLOTHING,199.92,4,Y
2062,OFFICE-RECEIVE,CLOTHING,619.36,2,N
2063,HOME-GOOD,OFFICE,552.46,5,N
2064,ELECTRONICS-STOP,HOME,294.04,0,N
2065,OFFICE-ANIMAL,HOME,470.34,3,Y
2066,OFFICE-OCCUR,CLOTHING,516.06,1,N
2067,CLOTHING-REMAIN,ELECTRONICS,290.95,3,N
2068,HOME-READ,ELECTRONICS,820.24,1,N
2069,CLOTHING-GARDEN,HOME,232.39,5,N
2070,CLOTHING-ABOUT,CLOTHING,34.18,5,N
